tick;adc
753;2435
754;2429
755;2433
756;2437
757;2446
758;2449
759;2462
760;2470
761;2480
762;2489
763;2494
764;2502
765;2514
766;2518
767;2523
768;2533
769;2539
770;2551
771;2520
772;2551
773;2567
774;2581
775;2586
776;2589
777;2598
778;2599
779;2608
780;2613
781;2627
782;2635
783;2637
784;2649
785;2657
786;2670
787;2668
788;2680
789;2702
790;2695
791;2690
792;2701
793;2710
794;2719
795;2724
796;2736
797;2740
798;2787
799;2767
800;2768
801;2771
802;2785
803;2791
804;2793
805;2800
806;2817
807;2826
808;2821
809;2835
810;2845
811;2851
812;2858
813;2844
814;2876
815;2882
816;2887
817;2888
818;2909
819;2913
820;2919
821;2922
822;2936
823;2943
824;2947
825;2952
826;2962
827;2972
828;2981
829;2989
830;2995
831;3006
832;3013
833;3026
834;3033
835;3033
836;3043
837;3054
838;3067
839;3073
840;3073
841;3083
842;3079
843;3099
844;3106
845;3106
846;3122
847;3133
848;3137
849;3143
850;3151
851;3157
852;3177
853;3179
854;3187
855;3195
856;3198
857;3209
858;3213
859;3219
860;3227
861;3231
862;3220
863;3251
864;3261
865;3267
866;3275
867;3289
868;3295
869;3299
870;3310
871;3317
872;3323
873;3333
874;3341
875;3349
876;3355
877;3361
878;3371
879;3377
880;3389
881;3369
882;3403
883;3413
884;3417
885;3423
886;3438
887;3446
888;3451
889;3466
890;3467
891;3475
892;3479
893;3490
894;3499
895;3508
896;3518
897;3526
898;3531
899;3543
900;3550
901;3560
902;3566
903;3571
904;3587
905;3589
906;3595
907;3603
908;3618
909;3626
910;3634
911;3641
912;3651
913;3659
914;3667
915;3646
916;3687
917;3694
918;3705
919;3715
920;3719
921;3736
922;3735
923;3741
924;3749
925;3757
926;3770
927;3779
928;3798
929;3786
930;3803
931;3816
932;3821
933;3828
934;3837
935;3849
936;3853
937;3862
938;3871
939;3879
940;3890
941;3893
942;3902
943;3921
944;3922
945;3925
946;3938
947;3943
948;3948
949;3955
950;3963
951;3971
952;3978
953;3981
954;3986
955;3993
956;4003
957;4013
958;4019
959;4025
960;4019
961;4023
962;4022
963;4015
964;4021
965;4023
966;4016
967;4020
968;4017
969;4019
970;4020
971;4029
972;4021
973;4025
974;4026
975;4030
976;4025
977;4021
978;4023
979;4030
980;4021
981;4016
982;4020
983;4023
984;4023
985;4023
986;4023
987;4029
988;4021
989;4019
990;4016
991;4023
992;4023
993;4022
994;4014
995;4026
996;4017
997;4028
998;4019
999;4024
1000;4022
1001;4019
1002;4019
1003;4023
1004;4017
1005;4018
1006;4017
1007;4023
1008;4025
1009;4019
1010;4018
1011;4021
1012;4019
1013;4019
1014;4018
1015;4022
1016;4022
1017;4019
1018;4016
1019;4020
1020;4019
1021;4016
1022;4019
1023;4024
1024;4021
1025;4019
1026;4021
1027;4021
1028;4019
1029;4019
1030;4022
1031;4017
1032;4024
1033;4025
1034;4022
1035;4019
1036;4025
1037;4019
1038;4020
1039;4019
1040;4023
1041;4019
1042;4018
1043;4015
1044;4024
1045;4023
1046;4016
1047;4022
1048;4020
1049;4021
1050;4021
1051;4026
1052;4023
1053;4019
1054;4017
1055;4018
1056;4021
1057;4029
1058;4017
1059;4022
1060;4023
1061;4023
1062;4023
1063;4019
1064;4027
1065;4023
1066;4008
1067;4017
1068;4025
1069;4021
1070;4022
1071;4023
1072;4027
1073;4010
1074;4001
1075;4002
1076;4003
1077;3990
1078;3989
1079;3987
1080;3991
1081;3987
1082;3977
1083;3976
1084;3975
1085;3981
1086;3979
1087;3974
1088;3976
1089;3971
1090;3965
1091;3970
1092;3961
1093;3958
1094;3962
1095;3958
1096;3957
1097;3956
1098;3949
1099;3952
1100;3952
1101;3945
1102;3945
1103;3937
1104;3941
1105;3939
1106;3934
1107;3931
1108;3936
1109;3927
1110;3929
1111;3927
1112;3932
1113;3923
1114;3918
1115;3919
1116;3920
1117;3920
1118;3913
1119;3915
1120;3912
1121;3913
1122;3906
1123;3903
1124;3900
1125;3891
1126;3897
1127;3897
1128;3893
1129;3891
1130;3894
1131;3889
1132;3893
1133;3888
1134;3881
1135;3882
1136;3893
1137;3873
1138;3879
1139;3878
1140;3864
1141;3877
1142;3872
1143;3872
1144;3868
1145;3869
1146;3862
1147;3866
1148;3858
1149;3861
1150;3859
1151;3855
1152;3857
1153;3857
1154;3852
1155;3851
1156;3848
1157;3853
1158;3849
1159;3850
1160;3846
1161;3841
1162;3837
1163;3839
1164;3840
1165;3839
1166;3836
1167;3832
1168;3831
1169;3831
1170;3830
1171;3831
1172;3826
1173;3827
1174;3831
1175;3823
1176;3822
1177;3823
1178;3830
1179;3825
1180;3817
1181;3821
1182;3823
1183;3814
1184;3819
1185;3815
1186;3814
1187;3811
1188;3814
1189;3805
1190;3811
1191;3809
1192;3808
1193;3809
1194;3810
1195;3806
1196;3800
1197;3806
1198;3803
1199;3804
1200;3802
1201;3803
1202;3799
1203;3799
1204;3799
1205;3805
1206;3781
1207;3794
1208;3799
1209;3799
1210;3795
1211;3795
1212;3798
1213;3800
1214;3791
1215;3794
1216;3795
1217;3805
1218;3795
1219;3792
1220;3786
1221;3790
1222;3792
1223;3784
1224;3793
1225;3792
1226;3791
1227;3790
1228;3791
1229;3786
1230;3791
1231;3790
1232;3789
1233;3789
1234;3787
1235;3788
1236;3792
1237;3785
1238;3786
1239;3786
1240;3789
1241;3789
1242;3790
1243;3789
1244;3786
1245;3783
1246;3788
1247;3785
1248;3786
1249;3799
1250;3803
1251;3799
1252;3806
1253;3801
1254;3801
1255;3800
1256;3801
1257;3799
1258;3803
1259;3803
1260;3801
1261;3802
1262;3802
1263;3802
1264;3799
1265;3799
1266;3802
1267;3799
1268;3802
1269;3799
1270;3799
1271;3795
1272;3802
1273;3801
1274;3799
1275;3801
1276;3802
1277;3801
1278;3796
1279;3799
1280;3799
1281;3799
1282;3800
1283;3798
1284;3802
1285;3799
1286;3801
1287;3801
1288;3803
1289;3801
1290;3803
1291;3799
1292;3797
1293;3800
1294;3801
1295;3795
1296;3803
1297;3800
1298;3805
1299;3797
1300;3799
1301;3802
1302;3800
1303;3824
1304;3806
1305;3802
1306;3801
1307;3800
1308;3799
1309;3805
1310;3801
1311;3798
1312;3803
1313;3805
1314;3803
1315;3787
1316;3795
1317;3803
1318;3801
1319;3803
1320;3796
1321;3805
1322;3801
1323;3800
1324;3799
1325;3802
1326;3797
1327;3799
1328;3798
1329;3803
1330;3799
1331;3801
1332;3799
1333;3806
1334;3801
1335;3795
1336;3799
1337;3802
1338;3802
1339;3801
1340;3799
1341;3805
1342;3809
1343;3799
1344;3794
1345;3805
1346;3799
1347;3800
1348;3798
1349;3802
1350;3803
1351;3797
1352;3798
1353;3802
1354;3807
1355;3795
1356;3799
1357;3801
1358;3803
1359;3800
1360;3804
1361;3805
1362;3801
1363;3801
1364;3795
1365;3801
1366;3802
1367;3794
1368;3799
1369;3799
1370;3805
1371;3801
1372;3798
1373;3804
1374;3803
1375;3801
1376;3803
1377;3803
1378;3801
1379;3797
1380;3802
1381;3803
1382;3795
1383;3797
1384;3798
1385;3801
1386;3800
1387;3802
1388;3799
1389;3801
1390;3801
1391;3799
1392;3801
1393;3798
1394;3800
1395;3800
1396;3798
1397;3803
1398;3803
1399;3803
1400;3798
1401;3801
1402;3802
1403;3803
1404;3803
1405;3799
1406;3790
1407;3799
1408;3803
1409;3803
1410;3795
1411;3799
1412;3799
1413;3803
1414;3800
1415;3803
1416;3799
1417;3799
1418;3803
1419;3801
1420;3788
1421;3798
1422;3801
1423;3797
1424;3802
1425;3799
1426;3798
1427;3803
1428;3798
1429;3795
1430;3797
1431;3799
1432;3792
1433;3797
1434;3801
1435;3797
1436;3799
1437;3799
1438;3801
1439;3803
1440;3802
1441;3806
1442;3807
1443;3803
1444;3801
1445;3805
1446;3804
1447;3799
1448;3801
1449;3800
1450;3801
1451;3802
1452;3803
1453;3797
1454;3801
1455;3797
1456;3799
1457;3799
1458;3804
1459;3799
1460;3803
1461;3799
1462;3802
1463;3795
1464;3799
1465;3801
1466;3812
1467;3803
1468;3800
1469;3801
1470;3804
1471;3801
1472;3801
1473;3797
1474;3804
1475;3803
1476;3799
1477;3795
1478;3804
1479;3803
1480;3796
1481;3799
1482;3800
1483;3803
1484;3798
1485;3801
1486;3801
1487;3801
1488;3802
1489;3801
1490;3803
1491;3803
1492;3801
1493;3801
1494;3800
1495;3808
1496;3802
1497;3795
1498;3796
1499;3799
1500;3799
1501;3797
1502;3800
1503;3801
1504;3803
1505;3797
1506;3805
1507;3801
1508;3798
1509;3803
1510;3797
1511;3803
1512;3799
1513;3801
1514;3797
1515;3807
1516;3798
1517;3798
1518;3802
1519;3799
1520;3803
1521;3801
1522;3805
1523;3801
1524;3803
1525;3799
1526;3803
1527;3799
1528;3799
1529;3797
1530;3803
1531;3799
1532;3799
1533;3792
1534;3799
1535;3801
1536;3802
1537;3797
1538;3799
1539;3803
1540;3803
1541;3799
1542;3803
1543;3799
1544;3799
1545;3795
1546;3799
1547;3803
1548;3799
1549;3797
1550;3799
1551;3799
1552;3800
1553;3799
1554;3802
1555;3801
1556;3799
1557;3797
1558;3805
1559;3803
1560;3801
1561;3798
1562;3797
1563;3803
1564;3801
1565;3801
1566;3801
1567;3803
1568;3802
1569;3805
1570;3802
1571;3803
1572;3803
1573;3799
1574;3803
1575;3801
1576;3803
1577;3799
1578;3794
1579;3795
1580;3797
1581;3792
1582;3801
1583;3799
1584;3802
1585;3800
1586;3806
1587;3809
1588;3804
1589;3794
1590;3797
1591;3803
1592;3798
1593;3797
1594;3798
1595;3804
1596;3801
1597;3799
1598;3800
1599;3800
1600;3803
1601;3769
1602;3802
1603;3800
1604;3809
1605;3799
1606;3801
1607;3804
1608;3803
1609;3798
1610;3795
1611;3803
1612;3798
1613;3795
1614;3803
1615;3801
1616;3794
1617;3800
1618;3795
1619;3801
1620;3803
1621;3795
1622;3801
1623;3799
1624;3799
1625;3800
1626;3799
1627;3806
1628;3806
1629;3799
1630;3802
1631;3803
1632;3802
1633;3799
1634;3798
1635;3802
1636;3799
1637;3799
1638;3802
1639;3803
1640;3794
1641;3803
1642;3805
1643;3805
1644;3802
1645;3798
1646;3798
1647;3801
1648;3803
1649;3801
1650;3795
1651;3802
1652;3802
1653;3800
1654;3784
1655;3802
1656;3801
1657;3799
1658;3803
1659;3802
1660;3789
1661;3787
1662;3798
1663;3803
1664;3799
1665;3801
1666;3806
1667;3799
1668;3803
1669;3800
1670;3800
1671;3800
1672;3800
1673;3799
1674;3798
1675;3800
1676;3802
1677;3800
1678;3801
1679;3801
1680;3798
1681;3798
1682;3805
1683;3795
1684;3798
1685;3799
1686;3800
1687;3797
1688;3801
1689;3801
1690;3798
1691;3801
1692;3802
1693;3797
1694;3800
1695;3795
1696;3798
1697;3795
1698;3790
1699;3795
1700;3791
1701;3791
1702;3789
1703;3787
1704;3792
1705;3775
1706;3787
1707;3785
1708;3782
1709;3779
1710;3771
1711;3771
1712;3763
1713;3751
1714;3750
1715;3743
1716;3736
1717;3728
1718;3719
1719;3718
1720;3707
1721;3703
1722;3681
1723;3675
1724;3682
1725;3673
1726;3664
1727;3661
1728;3656
1729;3647
1730;3635
1731;3637
1732;3621
1733;3617
1734;3606
1735;3601
1736;3590
1737;3585
1738;3578
1739;3571
1740;3568
1741;3555
1742;3556
1743;3539
1744;3538
1745;3527
1746;3523
1747;3515
1748;3509
1749;3486
1750;3492
1751;3483
1752;3473
1753;3466
1754;3463
1755;3450
1756;3445
1757;3435
1758;3430
1759;3419
1760;3432
1761;3409
1762;3391
1763;3385
1764;3386
1765;3367
1766;3376
1767;3344
1768;3340
1769;3347
1770;3331
1771;3328
1772;3324
1773;3267
1774;3301
1775;3296
1776;3268
1777;3281
1778;3267
1779;3259
1780;3252
1781;3243
1782;3235
1783;3229
1784;3224
1785;3211
1786;3214
1787;3197
1788;3197
1789;3189
1790;3182
1791;3178
1792;3173
1793;3155
1794;3155
1795;3151
1796;3137
1797;3135
1798;3124
1799;3121
1800;3108
1801;3102
1802;3098
1803;3090
1804;3080
1805;3075
1806;3065
1807;3061
1808;3055
1809;3047
1810;3036
1811;3017
1812;3017
1813;3001
1814;2997
1815;2999
1816;2994
1817;2986
1818;2973
1819;2966
1820;2958
1821;2949
1822;2941
1823;2931
1824;2928
1825;2919
1826;2914
1827;2903
1828;2899
1829;2895
1830;2881
1831;2872
1832;2867
1833;2857
1834;2855
1835;2841
1836;2834
1837;2826
1838;2823
1839;2811
1840;2830
1841;2802
1842;2794
1843;2779
1844;2778
1845;2769
1846;2762
1847;2758
1848;2747
1849;2753
1850;2733
1851;2725
1852;2722
1853;2711
1854;2708
1855;2698
1856;2680
1857;2689
1858;2673
1859;2665
1860;2664
1861;2655
1862;2647
1863;2639
1864;2640
1865;2631
1866;2621
1867;2612
1868;2602
1869;2599
1870;2595
1871;2584
1872;2576
1873;2571
1874;2569
1875;2556
1876;2552
1877;2554
1878;2560
1879;2523
1880;2524
1881;2517
1882;2506
1883;2498
1884;2489
1885;2480
1886;2475
1887;2467
1888;2462
1889;2451
1890;2445
1891;2432
1892;2426
1893;2431
1894;2412
1895;2414
1896;2396
1897;2392
1898;2384
1899;2371
1900;2367
1901;2358
1902;2357
1903;2342
1904;2330
1905;2336
1906;2317
1907;2311
1908;2305
1909;2290
1910;2290
1911;2283
1912;2275
1913;2266
1914;2261
1915;2264
1916;2246
1917;2241
1918;2249
1919;2222
1920;2216
1921;2205
1922;2199
1923;2187
1924;2178
1925;2180
1926;2168
1927;2163
1928;2154
1929;2151
1930;2138
1931;2125
1932;2126
