tick;adc
0.000000;0.000000
1.000000;1.592178
2.000000;-0.317657
3.000000;-2.397537
4.000000;0.451996
5.000000;-1.784271
6.000000;2.266953
7.000000;-0.527069
8.000000;3.813416
9.000000;-2.287857
10.000000;1.197266
11.000000;-2.664185
12.000000;0.254868
13.000000;-3.303940
14.000000;-1.551254
15.000000;-3.140137
16.000000;-0.726822
17.000000;3.701874
18.000000;1.843216
19.000000;0.581223
20.000000;1.800095
21.000000;-5.017517
22.000000;0.810318
23.000000;0.599762
24.000000;1.844772
25.000000;1.999405
26.000000;-2.074097
27.000000;0.692123
28.000000;-0.183304
29.000000;-0.094833
30.000000;0.662109
31.000000;1.186325
32.000000;-1.236526
33.000000;-2.909042
34.000000;1.528610
35.000000;2.487350
36.000000;4.522308
37.000000;-1.793472
38.000000;-6.098785
39.000000;4.991379
40.000000;1.322784
41.000000;3.022095
42.000000;-2.094971
43.000000;0.659241
44.000000;-3.006561
45.000000;1.445480
46.000000;0.327026
47.000000;0.946854
48.000000;2.069305
49.000000;0.745209
50.000000;-0.859039
51.000000;-0.578186
52.000000;1.702698
53.000000;-2.985992
54.000000;0.762604
55.000000;-1.532608
56.000000;1.057770
57.000000;2.150085
58.000000;-1.977829
59.000000;2.837219
60.000000;-2.213638
61.000000;-0.110062
62.000000;-1.445969
63.000000;-0.973694
64.000000;-1.343246
65.000000;0.491898
66.000000;1.065247
67.000000;-1.322754
68.000000;1.897491
69.000000;-0.059845
70.000000;-2.799576
71.000000;-2.579391
72.000000;0.361679
73.000000;3.078842
74.000000;0.748749
75.000000;-0.841644
76.000000;0.144211
77.000000;2.218262
78.000000;1.549744
79.000000;1.785385
80.000000;3.332657
81.000000;-0.504089
82.000000;-8.696426
83.000000;0.588318
84.000000;2.608093
85.000000;-0.888382
86.000000;0.880386
87.000000;2.103912
88.000000;1.544449
89.000000;1.854309
90.000000;-0.721024
91.000000;-0.411118
92.000000;-8.542328
93.000000;3.553879
94.000000;0.521957
95.000000;1.933289
96.000000;4.288055
97.000000;0.978439
98.000000;-1.959671
99.000000;0.887848
100.000000;3.546417
101.000000;-1.619553
102.000000;5.276688
103.000000;0.187805
104.000000;-4.645737
105.000000;0.446457
106.000000;2.520950
107.000000;-1.631195
108.000000;-1.701614
109.000000;-1.745377
110.000000;2.402267
111.000000;1.770004
112.000000;-0.751770
113.000000;-1.796417
114.000000;1.664124
115.000000;-3.604523
116.000000;6.020004
117.000000;3.446030
118.000000;-1.754883
119.000000;1.639481
120.000000;1.889618
121.000000;-0.031372
122.000000;0.035995
123.000000;0.778320
124.000000;-0.794876
125.000000;-6.056641
126.000000;-1.884583
127.000000;0.907211
128.000000;0.745941
129.000000;2.024826
130.000000;-4.059113
131.000000;1.542999
132.000000;2.588028
133.000000;2.594162
134.000000;3.979019
135.000000;2.799957
136.000000;-2.177094
137.000000;-3.501129
138.000000;1.186676
139.000000;1.615387
140.000000;-1.572021
141.000000;2.491959
142.000000;-3.762527
143.000000;-1.065201
144.000000;6.331024
145.000000;0.142899
146.000000;3.628769
147.000000;-0.271988
148.000000;-2.243256
149.000000;-2.893845
150.000000;-0.540024
151.000000;3.851288
152.000000;1.266327
153.000000;-1.183380
154.000000;-0.788086
155.000000;-1.210419
156.000000;0.587463
157.000000;-2.341843
158.000000;2.604309
159.000000;-1.658997
160.000000;1.672623
161.000000;-1.597717
162.000000;-1.763245
163.000000;2.301208
164.000000;1.613266
165.000000;-0.946243
166.000000;0.069138
167.000000;4.945053
168.000000;0.563614
169.000000;-0.313705
170.000000;3.250626
171.000000;-1.973923
172.000000;-0.682907
173.000000;1.594727
174.000000;-0.312973
175.000000;-3.716858
176.000000;0.243881
177.000000;-0.527252
178.000000;-2.452911
179.000000;3.191742
180.000000;3.568237
181.000000;-3.152969
182.000000;1.307785
183.000000;-6.760666
184.000000;2.467484
185.000000;3.132248
186.000000;0.089294
187.000000;-1.992950
188.000000;0.056168
189.000000;0.772003
190.000000;0.571396
191.000000;0.432312
192.000000;-1.055176
193.000000;-1.388016
194.000000;-3.004684
195.000000;2.168732
196.000000;3.625397
197.000000;-0.974747
198.000000;0.744766
199.000000;-5.715729
200.000000;3.170563
201.000000;2.232132
202.000000;2.980469
203.000000;-3.480988
204.000000;0.462463
205.000000;-1.011047
206.000000;2.142899
207.000000;4.309891
208.000000;-7.474075
209.000000;3.452316
210.000000;1.060837
211.000000;3.606308
212.000000;-3.725754
213.000000;-2.451080
214.000000;1.199112
215.000000;3.709686
216.000000;0.523560
217.000000;0.440598
218.000000;-0.312607
219.000000;1.251160
220.000000;-1.842331
221.000000;-3.275879
222.000000;2.028290
223.000000;-0.599976
224.000000;1.065628
225.000000;-2.651276
226.000000;1.062103
227.000000;2.223663
228.000000;0.924240
229.000000;0.728928
230.000000;2.679855
231.000000;0.525223
232.000000;-1.645172
233.000000;2.423706
234.000000;1.041855
235.000000;-3.381607
236.000000;0.557724
237.000000;-0.221268
238.000000;2.715698
239.000000;-1.538071
240.000000;1.104828
241.000000;-1.244308
242.000000;1.306793
243.000000;-0.410309
244.000000;1.184204
245.000000;5.762955
246.000000;-6.514389
247.000000;1.270706
248.000000;-1.120850
249.000000;5.573563
250.000000;-0.362518
251.000000;-2.295837
252.000000;1.253845
253.000000;0.914474
254.000000;-2.102203
255.000000;1.388611
256.000000;-1.772446
257.000000;-0.471085
258.000000;-0.271301
259.000000;0.562714
260.000000;-1.641022
261.000000;3.795731
262.000000;-2.936752
263.000000;0.124451
264.000000;-0.558533
265.000000;-1.727402
266.000000;0.950912
267.000000;0.712280
268.000000;6.806274
269.000000;-3.094971
270.000000;2.746567
271.000000;1.174362
272.000000;0.795731
273.000000;-3.638855
274.000000;0.300201
275.000000;0.906799
276.000000;-0.066086
277.000000;-0.044357
278.000000;-0.029236
279.000000;-0.018723
280.000000;-2.097870
281.000000;-1.435425
282.000000;-0.979706
283.000000;2.116806
284.000000;-2.014709
285.000000;-1.374817
286.000000;5.324890
287.000000;-1.291641
288.000000;-1.613480
289.000000;0.256348
290.000000;2.938354
291.000000;-0.803146
292.000000;-1.981094
293.000000;0.694458
294.000000;-0.242722
295.000000;2.584869
296.000000;-3.828003
297.000000;4.327148
298.000000;-4.750809
299.000000;0.936813
300.000000;0.636688
301.000000;-0.961990
302.000000;-2.763290
303.000000;-6.067551
304.000000;5.006088
305.000000;-0.064407
306.000000;-0.026260
307.000000;-3.477158
308.000000;2.529053
309.000000;2.459335
310.000000;1.707367
311.000000;3.277298
312.000000;-4.715683
313.000000;-0.389374
314.000000;2.542938
315.000000;3.158478
316.000000;0.081772
317.000000;-0.632401
318.000000;1.654846
319.000000;-6.506241
320.000000;-0.137756
321.000000;1.362381
322.000000;2.396347
323.000000;1.006744
324.000000;-2.031235
325.000000;3.530365
326.000000;0.366867
327.000000;0.295822
328.000000;2.332886
329.000000;-2.536621
330.000000;-1.699295
331.000000;0.961578
332.000000;-2.070877
333.000000;1.408615
334.000000;-1.064667
335.000000;0.009705
336.000000;-2.028961
337.000000;0.746658
338.000000;-0.121979
339.000000;3.448807
340.000000;-1.082108
341.000000;-4.881561
342.000000;0.936859
343.000000;5.591690
344.000000;3.111908
345.000000;-2.029846
346.000000;-5.551559
347.000000;-0.906265
348.000000;0.830429
349.000000;0.641006
350.000000;6.073456
351.000000;0.627365
352.000000;-1.643036
353.000000;0.965714
354.000000;1.375031
355.000000;0.262527
356.000000;-1.895935
357.000000;-1.292450
358.000000;0.514084
359.000000;0.372406
360.000000;-0.421402
361.000000;1.809830
362.000000;-0.132797
363.000000;-0.081406
364.000000;2.040741
365.000000;-1.372574
366.000000;-2.331589
367.000000;1.890427
368.000000;-2.164825
369.000000;0.614548
370.000000;2.529358
371.000000;-3.124435
372.000000;0.664825
373.000000;-2.299835
374.000000;-1.551773
375.000000;3.135025
376.000000;8.423538
377.000000;-0.737686
378.000000;-1.991302
379.000000;-2.845245
380.000000;-0.630524
381.000000;3.665543
382.000000;2.411911
383.000000;0.166718
384.000000;-4.852097
385.000000;-2.660934
386.000000;2.293945
387.000000;-0.570313
388.000000;-1.151459
389.000000;-4.332077
390.000000;-0.195557
391.000000;-2.947632
392.000000;0.745529
393.000000;0.499130
394.000000;7.283295
395.000000;-2.172470
396.000000;-2.281372
397.000000;-2.347519
398.000000;1.093353
399.000000;0.679352
400.000000;0.393280
401.000000;2.281601
402.000000;-1.298981
403.000000;-0.980743
404.000000;1.325974
405.000000;-0.559296
406.000000;-1.167313
407.000000;-2.975403
408.000000;-1.411453
409.000000;1.741867
410.000000;1.130920
411.000000;0.710175
412.000000;-2.362442
413.000000;-3.774246
414.000000;3.641449
415.000000;8.683105
416.000000;-2.746490
417.000000;-2.745392
418.000000;-4.124130
419.000000;-4.328705
420.000000;1.127426
421.000000;-0.017822
422.000000;2.667511
423.000000;-1.064331
424.000000;-1.542908
425.000000;4.391571
426.000000;-2.018066
427.000000;-1.520050
428.000000;0.214691
429.000000;-4.846466
430.000000;-0.598480
431.000000;1.580536
432.000000;-0.395126
433.000000;0.326736
434.000000;1.523193
435.000000;2.344070
436.000000;-1.277328
437.000000;-10.028015
438.000000;4.554962
439.000000;-1.754318
440.000000;-4.663803
441.000000;3.842987
442.000000;2.655014
443.000000;1.844910
444.000000;-4.970352
445.000000;1.552826
446.000000;1.123245
